ranking,regionCode,firstName,lastName,teamId,teamName,age,height,weight,positionText,apps,minsPlayed,rating,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,name,date,,,
117,ba,Asmir,Begovic,96,Stoke,27,198,83,Goalkeeper,32,2880,7.04875,1,0,0.03125,0.03125,0,0.15625,0,0,0,Ben Turner,1/1/2014,,,
55,fr,Bacary,Sagna,13,Arsenal,31,176,72,Defender,35,3061,7.223142857,1,2,0.457142857,0.628571429,0.228571429,0.771428571,0,0.685714286,0.4,Billy Jones,1/1/2014,,,
321,sct,Barry,Bannan,162,Crystal Palace,25,170,60,Midfielder,15,1016,6.650666667,1,1,0.933333333,1.466666667,0.4,0.066666667,0.066666667,0.333333333,0.6,Boaz Myhill,1/1/2014,,,
150,eng,Ben,Turner,188,Cardiff,26,193,91,Defender,31,2721,6.952258065,0,1,0.258064516,0.225806452,0.064516129,0.225806452,0.161290323,0.032258065,0.096774194,Brad Friedel,1/1/2014,,,
167,wls,Ben,Davies,259,Swansea,21,181,71,Defender,34,2877,6.914117647,2,1,0.264705882,0.911764706,0.441176471,0.735294118,0,0.529411765,0.794117647,Brad Guzan,1/1/2014,,,
349,eng,Ben,Foster,175,West Bromwich Albion,31,193,79,Goalkeeper,24,2149,6.5975,0,0,0,0,0.041666667,0.041666667,0,0,0.041666667,Bradley Johnson,1/1/2014,,,
144,eng,Billy,Jones,175,West Bromwich Albion,27,183,77,Defender,21,1744,6.96952381,0,0,0.619047619,0.380952381,1.047619048,0.80952381,0.095238095,0.523809524,0.619047619,Bradley Smith,1/1/2014,,,
328,wls,Boaz,Myhill,175,West Bromwich Albion,32,191,91,Goalkeeper,14,1260,6.639285714,0,0,0,0,0,0.142857143,0,0,0,Branislav Ivanovic,1/1/2014,,,
399,kr,Bo-Kyung,Kim,188,Cardiff,25,178,70,Midfielder,28,1689,6.497142857,1,0,0.821428571,0.642857143,1.035714286,1.392857143,0.035714286,1.892857143,1.285714286,Brede Hangeland,1/1/2014,,,
137,us,Brad,Friedel,30,Tottenham,43,191,92,Goalkeeper,1,90,6.99,0,0,0,0,0,0,0,0,0,Brek Shea,1/1/2014,,,
