ranking,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,regionCode,tournamentName,tournamentShortName,firstName,lastName,playerId,isActive,isOpta,teamId,teamName,playedPositions,age,height,weight,positionText,apps,subOn,minsPlayed,rating,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,goalOwn,name,date,,,
453,3853,2013/2014,2,252,gb,ie,Premier League,EPL,Anthony,Pilkington,23348,FALSE,TRUE,168,Norwich,-ML-MR-,26,180,76,Midfielder,15,5,841,6.36,0.866666667,0.466666667,1.066666667,0,0.4,0.866666667,0.066666667,0,Anthony Pilkington,1/1/2014,,,
115,3853,2013/2014,2,252,gb,py,Premier League,EPL,Antolin,Alcaraz,9474,TRUE,TRUE,31,Everton,-DC-,32,184,80,Defender,6,1,495,7.05,2.333333333,2.666666667,0.5,0.666666667,8.833333333,0.333333333,1,1,Antolin Alcaraz,1/1/2014,,,
264,3853,2013/2014,2,252,gb,es,Premier League,EPL,Antonio,Luna,86793,FALSE,TRUE,24,Aston Villa,-DL-ML-,23,178,70,Defender,17,1,1385,6.746470588,2.529411765,1.529411765,0.764705882,0.470588235,2,1.117647059,0.470588235,1,Antonio Luna,1/1/2014,,,
484,3853,2013/2014,2,252,gb,it,Premier League,EPL,Antonio,Nocerino,19553,FALSE,TRUE,29,West Ham,-DMC-,29,175,74,Midfielder,10,8,255,6.24,0.6,0.4,0.5,0,1.4,0.3,0.1,0,Antonio Nocerino,1/1/2014,,,
390,3853,2013/2014,2,252,gb,is,Premier League,EPL,Aron,Gunnarsson,35734,TRUE,TRUE,188,Cardiff,-DMC-,25,177,70,Midfielder,23,6,1549,6.515217391,1.47826087,1.173913043,1,0.043478261,1.739130435,1.173913043,0.47826087,0,Aron Gunnarsson,1/1/2014,,,
510,3853,2013/2014,2,252,gb,ci,Premier League,EPL,Arouna,Kone,8943,TRUE,TRUE,31,Everton,-AMR-FW-,30,182,78,Forward,5,5,79,6.16,0,0,0,0,0,0,0,0,Arouna Kone,1/1/2014,,,
279,3853,2013/2014,2,252,gb,pl,Premier League,EPL,Artur,Boruc,14111,FALSE,TRUE,18,Southampton,-GK-,34,193,89,Goalkeeper,29,0,2580,6.715172414,0,0,0,0,0.620689655,0,0,0,Artur Boruc,1/1/2014,,,
248,3853,2013/2014,2,252,gb,ir,Premier League,EPL,Ashkan,Dejagah,10249,FALSE,TRUE,170,Fulham,-AMC-AML-AMR-FW-,28,181,77,Midfielder,22,9,1310,6.772727273,1.227272727,0.363636364,0.772727273,0.045454545,0.681818182,0.545454545,0.090909091,0,Ashkan Dejagah,1/1/2014,,,
172,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Ashley,Cole,342,FALSE,TRUE,15,Chelsea,-DL-,33,176,66,Defender,17,2,1389,6.91,2.235294118,1.176470588,0.823529412,0.117647059,2,0.882352941,0.176470588,0,Ashley Cole,1/1/2014,,,
219,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Ashley,Westwood,79050,TRUE,TRUE,24,Aston Villa,-DMC-,24,175,67,Midfielder,35,0,3086,6.825428571,1.6,1.371428571,1.085714286,0.028571429,0.914285714,0.428571429,0.371428571,0,Ashley Westwood,1/1/2014,,,
